"company","bean_origin","REF","review_date","cocoa_percent","company_location","rating","bean_type","broad_bean_origin","cacao_decimal"
"Arete","Hacienda Victoria",1904,2016,"70%","U.S.A.",3.25," ","Ecuador",0.7
"Arete","Costa Esmeraldas",1904,2016,"70%","U.S.A.",3.25," ","Ecuador",0.7
"Arete","Lachua",1904,2016,"70%","U.S.A.",3.5," ","Guatemala",0.7
"Arete","Rugoso",1904,2016,"70%","U.S.A.",3.75," ","Nicaragua",0.7
"Arete","La Masica, FHIA",1908,2016,"70%","U.S.A.",3.5," ","Honduras",0.7
"Arete","Coto Brus, Terciopelo",1908,2016,"70%","U.S.A.",4," ","Costa Rica",0.7
"Arete","Phantom",1924,2016,"70%","U.S.A.",4,"Forastero (Nacional)","Peru",0.7
"Arete","Elvesia",1928,2016,"70%","U.S.A.",3.75," ","Dominican Republic",0.7
"Arete","Matasawalevu",1928,2016,"70%","U.S.A.",3.25," ","Fiji",0.7
"Arete","Lam Dong",1928,2016,"73%","U.S.A.",3.25," ","Vietnam",0.73
"Arete","Fazenda Camboa",1534,2015,"70%","U.S.A.",3.5," ","Brazil",0.7
"Arete","Nacional",1534,2015,"68%","U.S.A.",3.5,"Forastero (Nacional)","Peru",0.68
"Arete","Puerto Quito, heirloom",1534,2015,"70%","U.S.A.",3.75,"Forastero (Nacional)","Ecuador",0.7
"Arete","Oko Caribe",1598,2015,"70%","U.S.A.",3.5," ","Domincan Republic",0.7
"Arete","Maya Mountain",1598,2015,"70%","U.S.A.",3.75,"Trinitario","Belize",0.7
"Arete","Chuno",1598,2015,"70%","U.S.A.",4,"Criollo, Trinitario","Nicaragua",0.7
"Arete","Fazenda Camboa",1602,2015,"75%","U.S.A.",2.75," ","Brazil",0.75
"Arete","Guatemala",1602,2015,"70%","U.S.A.",3.25," ","Guatemala",0.7
"Arete","Camino Verde",1602,2015,"75%","U.S.A.",3.5," ","Ecuador",0.75
"Artisan du Chocolat","Trinidad, Heritage, Limited ed.",1193,2013,"72%","U.K.",3.25,"Trinitario","Trinidad",0.72
"Artisan du Chocolat","Colombia, Casa Luker",947,2012,"72%","U.K.",3.75," ","Colombia",0.72
"Artisan du Chocolat","Haiti",729,2011,"72%","U.K.",4," ","Haiti",0.72
"Artisan du Chocolat","Panama",745,2011,"72%","U.K.",2.75," ","Panama",0.72
"Artisan du Chocolat","Venezuela",486,2010,"100%","U.K.",1.75," ","Venezuela",1
"Artisan du Chocolat","Jamaica",531,2010,"72%","U.K.",3.75,"Trinitario","Jamaica",0.72
"Artisan du Chocolat","Costa Rica",600,2010,"72%","U.K.",3.25," ","Costa Rica",0.72
"Artisan du Chocolat","Ba Ria Vung Tau Province",600,2010,"72%","U.K.",3.25,"Trinitario","Vietnam",0.72
"Artisan du Chocolat","Bali",600,2010,"72%","U.K.",3.5," ","Indonesia",0.72
"Artisan du Chocolat","Ocumare, Venezuela",355,2009,"75%","U.K.",2.5,"Criollo, Trinitario","Venezuela",0.75
"Artisan du Chocolat","Java",355,2009,"72%","U.K.",2.75,"Trinitario","Indonesia",0.72
"Artisan du Chocolat","Brazil Rio Doce",363,2009,"72%","U.K.",1.75," ","Brazil",0.72
"Artisan du Chocolat","Madagascar",363,2009,"80%","U.K.",3,"Criollo, Trinitario","Madagascar",0.8
"Artisan du Chocolat","Peru",363,2009,"75%","U.K.",3,"Criollo","Peru",0.75
"Artisan du Chocolat","Dominican Republic",363,2009,"72%","U.K.",3.25,"Trinitario","Dominican Republic",0.72
"Artisan du Chocolat","Congo",300,2008,"72%","U.K.",3.75,"Forastero","Congo",0.72
"Artisan du Chocolat (Casa Luker)","Orinoqua Region, Arauca",1181,2013,"72%","U.K.",2.75,"Trinitario","Colombia",0.72
"Askinosie","Mababa",1780,2016,"68%","U.S.A.",3.75,"Trinitario","Tanzania",0.68
"Askinosie","Tenende, Uwate",647,2011,"72%","U.S.A.",3.75,"Trinitario","Tanzania",0.72
"Askinosie","Cortes",661,2011,"70%","U.S.A.",3.75,"Trinitario","Honduras",0.7
"Askinosie","Davao",331,2009,"77%","U.S.A.",3.75,"Trinitario","Philippines",0.77
"Askinosie","Xoconusco",141,2007,"75%","U.S.A.",2.5,"Trinitario","Mexico",0.75
"Askinosie","San Jose del Tambo",175,2007,"70%","U.S.A.",3,"Forastero (Arriba)","Ecuador",0.7
"Bahen & Co.","Houseblend",1474,2015,"80%","Australia",3.25," "," ",0.8
"Bahen & Co.","Papua New Guinea",1474,2015,"70%","Australia",3.5," ","Papua New Guinea",0.7
"Bahen & Co.","Sambirano",995,2012,"70%","Australia",3,"Trinitario","Madagascar",0.7
"Bahen & Co.","Bahia",999,2012,"70%","Australia",2.5," ","Brazil",0.7
"Bahen & Co.","Houseblend",999,2012,"70%","Australia",2.5,"Blend"," ",0.7
"Bakau","Bambamarca, 2015",1454,2015,"70%","Peru",2.75," ","Peru",0.7
"Bakau","Huallabamba, 2015",1454,2015,"70%","Peru",3.5," ","Peru",0.7
"Bar Au Chocolat","Bahia",1554,2015,"70%","U.S.A.",3.5," ","Brazil",0.7
"Bar Au Chocolat","Maranon Canyon",1295,2014,"70%","U.S.A.",4,"Forastero (Nacional)","Peru",0.7
"Bar Au Chocolat","Duarte Province",983,2012,"70%","U.S.A.",3.25," ","Dominican Republic",0.7
"Bar Au Chocolat","Chiapas",983,2012,"70%","U.S.A.",3.5," ","Mexico",0.7
"Bar Au Chocolat","Sambirano",983,2012,"70%","U.S.A.",3.75,"Trinitario","Madagascar",0.7
"Baravelli's","single estate",955,2012,"80%","Wales",2.75," ","Costa Rica",0.8
"Batch","Dominican Republic, Batch 3",1840,2016,"65%","U.S.A.",3.5," ","Domincan Republic",0.65
"Batch","Brazil",1868,2016,"70%","U.S.A.",3.75," ","Brazil",0.7
"Batch","Ecuador",1880,2016,"65%","U.S.A.",3.25," ","Ecuador",0.65
"Beau Cacao","Asajaya E, NW Borneo, b. #132/4500",1948,2017,"73%","U.K.",3," ","Malaysia",0.73
"Beau Cacao","Serian E., NW Borneo, b. #134/3800",1948,2017,"72%","U.K.",3.25," ","Malaysia",0.72
"Beehive","Brazil, Batch 20316",1784,2016,"80%","U.S.A.",2.75," ","Brazil",0.8
"Beehive","Dominican Republic, Batch 31616",1784,2016,"70%","U.S.A.",2.75," ","Domincan Republic",0.7
"Beehive","Ecuador, Batch 31516",1784,2016,"70%","U.S.A.",2.75," ","Ecuador",0.7
"Beehive","Ecuador",1788,2016,"90%","U.S.A.",2.75," ","Ecuador",0.9
"Belcolade","Costa Rica",586,2010,"64%","Belgium",2.75," ","Costa Rica",0.64
"Belcolade","Papua New Guinea",586,2010,"64%","Belgium",2.75," ","Papua New Guinea",0.64
"Belcolade","Peru",586,2010,"64%","Belgium",2.75," ","Peru",0.64
"Belcolade","Ecuador",586,2010,"71%","Belgium",3.5," ","Ecuador",0.71
"Bellflower","Kakao Kamili, Kilombero Valley",1800,2016,"70%","U.S.A.",3.5,"Criollo, Trinitario","Tanzania",0.7
"Bellflower","Alto Beni, Palos Blanco",1804,2016,"70%","U.S.A.",3.25," ","Bolivia",0.7
"Bellflower","Oko Caribe, Duarte P.",1864,2016,"70%","U.S.A.",3.5," ","Domincan Republic",0.7
"Belyzium","Belize south, low fermentation",1768,2016,"83%","Germany",2.75,"Trinitario","Belize",0.83
"Belyzium","Belize south",1768,2016,"78%","Germany",3,"Trinitario","Belize",0.78
"Belyzium","Belize south",1768,2016,"83%","Germany",3.5,"Trinitario","Belize",0.83
"Benoit Nihant","Baracoa",1141,2013,"74%","Belgium",3.5,"Trinitario","Cuba",0.74
"Benoit Nihant","Chuao",1141,2013,"74%","Belgium",3.5,"Criollo","Venezuela",0.74
"Benoit Nihant","Cuyagua Village",1141,2013,"74%","Belgium",3.5,"Criollo","Venezuela",0.74
"Benoit Nihant","Rio Peripa H.",1141,2013,"73%","Belgium",4,"Trinitario","Ecuador",0.73
"Benoit Nihant","Bali, Sukrama Bros. Farm, Melaya, 62hr C",757,2011,"72%","Belgium",4,"Trinitario","Indonesia",0.72
"Benoit Nihant","Somia Plantation, Sambirano, 70hr C",773,2011,"72%","Belgium",3.75,"Trinitario","Madagascar",0.72
"Bernachon","Nature",797,2012,"55%","France",2.75," "," ",0.55
"Beschle (Felchlin)","Madagascar",636,2011,"64%","Switzerland",3,"Trinitario","Madagascar",0.64
"Beschle (Felchlin)","Maracaibo",636,2011,"88%","Switzerland",3,"Criollo","Venezuela",0.88
"Beschle (Felchlin)","Indigena Amazonia, Grand Cru, Quizas",636,2011,"72%","Switzerland",3.5," ","Venezuela",0.72
"Beschle (Felchlin)","Ecuador",636,2011,"72%","Switzerland",4," ","Ecuador",0.72
"Beschle (Felchlin)","Carenero S., Barlovento, Grand Cru",508,2010,"70%","Switzerland",3.25,"Trinitario","Venezuela",0.7
"Beschle (Felchlin)","Porcelana, Premier Cru, Quizas No. 1",508,2010,"74%","Switzerland",3.25,"Criollo (Porcelana)","Venezuela",0.74
"Beschle (Felchlin)","Java, Grand Cru",508,2010,"64%","Switzerland",3.5," ","Indonesia",0.64
"Beschle (Felchlin)","Ocumare, Premier Cru, Quizas No. 2",508,2010,"72%","Switzerland",3.5," ","Venezuela",0.72
"Bisou","Nicaragua, American style",1482,2015,"76%","U.S.A.",2.5," ","Nicaragua",0.76
"Bisou","San Andres, American style",1486,2015,"76%","U.S.A.",2.5," ","Costa Rica",0.76
"Bisou","San Andres, silk",1486,2015,"78%","U.S.A.",2.5," ","Costa Rica",0.78
"Bisou","Belize",1486,2015,"86%","U.S.A.",3.25,"Trinitario","Belize",0.86
"Bittersweet Origins","Ghana",963,2012,"72%","U.S.A.",3.5,"Forastero","Ghana",0.72
"Bittersweet Origins","Bali, Singaraja",478,2010,"75%","U.S.A.",3.25," ","Indonesia",0.75
"Bittersweet Origins","2009 Hapa Nibby",502,2010,"70%","U.S.A.",3.75,"Blend","Dominican Rep., Bali",0.7
"Bittersweet Origins","Bali, Singaraja",558,2010,"65%","U.S.A.",2.75," ","Indonesia",0.65
"Bittersweet Origins","Sambirano, 2009",565,2010,"70%","U.S.A.",3,"Trinitario","Madagascar",0.7
"Bittersweet Origins","Ocumare, prototype",565,2010,"78%","U.S.A.",3,"Criollo","Venezuela",0.78
"Bittersweet Origins","Puerto Plata",414,2009,"75%","U.S.A.",3," ","Dominican Republic",0.75
"Bittersweet Origins","Puerto Plata",414,2009,"65%","U.S.A.",3.5," ","Dominican Republic",0.65
"Bittersweet Origins","Sambirano",423,2009,"75%","U.S.A.",3.25,"Trinitario","Madagascar",0.75
"Bittersweet Origins","Sambirano",431,2009,"65%","U.S.A.",3.5,"Trinitario","Madagascar",0.65
"Bittersweet Origins","Sambirano",233,2008,"71%","U.S.A.",3,"Trinitario","Madagascar",0.71
"Bittersweet Origins","Bocas del Toro",233,2008,"75%","U.S.A.",3.5," ","Panama",0.75
"Bittersweet Origins","Puerto Plata",233,2008,"68%","U.S.A.",3.75," ","Dominican Republic",0.68
"Bittersweet Origins","Ankasa",256,2008,"70%","U.S.A.",3,"Forastero","Ghana",0.7
"Black Mountain","La Red",256,2008,"70%","U.S.A.",2.75," ","Dominican Republic",0.7
"Black Mountain","Carenero Superior",256,2008,"70%","U.S.A.",2.75,"Trinitario","Venezuela",0.7
"Black Mountain","Matiguas",256,2008,"70%","U.S.A.",3," ","Nicaragua",0.7
"Black River (A. Morin)","Blue Mountain Region",1331,2014,"70%","U.K.",2.75,"Trinitario","Jamaica",0.7
"Blanxart","Congo, Grand Cru",1046,2013,"82%","Spain",3.5,"Forastero","Congo",0.82
"Blanxart","Organic Dark",322,2009,"72%","Spain",2.75," "," ",0.72
"Blue Bandana","Akesson's E., Sambirano V.",1740,2016,"82%","U.S.A.",3.5,"Trinitario","Madagascar",0.82
"Blue Bandana","Lachua",1752,2016,"75%","U.S.A.",2.75," ","Guatemala",0.75
"Blue Bandana","Kokoa Kamili",1752,2016,"75%","U.S.A.",3.5," ","Tanzania",0.75
"Blue Bandana","Zorzal Reserva",1756,2016,"75%","U.S.A.",3," ","Dominican Republic",0.75
"Blue Bandana","Guatemala",911,2012,"70%","U.S.A.",3.5," ","Guatemala",0.7
"Blue Bandana","Madagascar",911,2012,"70%","U.S.A.",3.75,"Trinitario","Madagascar",0.7
"Bonnat","Selva Maya",1912,2016,"75%","France",3.5," ","Mexico",0.75
"Bonnat","Kaori",1339,2014,"75%","France",4," ","Brazil",0.75
"Bonnat","Los Colorados, Santo Domingo, Equateur",1418,2014,"75%","France",3.25," ","Dominican Republic",0.75
"Bonnat","Surfin",1418,2014,"65%","France",3.75," ","Venez,Africa,Brasil,Peru,Mex",0.65
"Bonnat","Maragnam",1038,2013,"75%","France",3.5," ","Brazil",0.75
"Bonnat","Gabon",1042,2013,"75%","France",3.25," ","Gabon",0.75
"Bonnat","Cuba",629,2011,"75%","France",3.5,"Trinitario","Cuba",0.75
"Bonnat","Cusco, Cacao Cusco",629,2011,"75%","France",3.5," ","Peru",0.75
"Bonnat","Piura Blanco",629,2011,"75%","France",3.5,"Forastero (Nacional)","Peru",0.75
"Bonnat","Libanio",629,2011,"75%","France",3.75," ","Brazil",0.75
"Bonnat","Haiti",629,2011,"75%","France",4," ","Haiti",0.75
"Bonnat","Madagascar, 100% criollo",629,2011,"75%","France",4,"Criollo","Madagascar",0.75
"Bonnat","Juliana",672,2011,"75%","France",3.5," ","Brazil",0.75
"Bonnat","Jamaique",761,2011,"75%","France",3.25,"Trinitario","Jamaica",0.75
"Bonnat","Ivory Coast",331,2009,"75%","France",3," ","Ivory Coast",0.75
"Bonnat","Porcelana, Apotequil",336,2009,"75%","France",2.75,"Criollo","Peru",0.75
"Bonnat","Porcelana, Tabasco, Marfil de Blanco",336,2009,"75%","France",3,"Criollo","Mexico",0.75
"Bonnat","Xoconusco, cacao Real",395,2009,"75%","France",3,"Criollo","Mexico",0.75
"Bonnat","Porcelana, Venezuela",199,2008,"75%","France",4,"Criollo (Porcelana)","Venezuela",0.75
"Bonnat","Equateur",123,2007,"75%","France",2.5,"Forastero (Arriba)","Ecuador",0.75
"Bonnat","Trinite",24,2006,"75%","France",3.75,"Trinitario","Carribean",0.75
"Bonnat","Ocumare, Puerto Cabello",32,2006,"75%","France",4," ","Venezuela",0.75
"Bonnat","Maracaibo, El Rosario",48,2006,"75%","France",4,"Criollo","Venezuela",0.75
"Bonnat","Madagascar",75,2006,"75%","France",4,"Trinitario","Madagascar",0.75
"Bonnat","One Hundred",81,2006,"100%","France",1.5," "," ",1
"Bonnat","Ceylan",81,2006,"75%","France",3," ","Sri Lanka",0.75
"Bonnat","Chuao",81,2006,"75%","France",4,"Trinitario","Venezuela",0.75
"Bouga Cacao (Tulicorp)","El Oro, Hacienda de Oro",316,2009,"77%","Ecuador",3.25,"Forastero (Arriba)","Ecuador",0.77
"Bouga Cacao (Tulicorp)","El Oro, Hacienda de Oro",341,2009,"100%","Ecuador",1.5,"Forastero (Arriba)","Ecuador",1
"Bowler Man","Maya Mountain",1267,2014,"70%","U.S.A.",2.75,"Trinitario","Belize",0.7
"Bowler Man","Conacado",1271,2014,"70%","U.S.A.",2.75," ","Dominican Republic",0.7
"Brasstown aka It's Chocolate","Guasare, Zulia Prov.",1868,2016,"70%","U.S.A.",3.5,"Criollo","Venezuela",0.7
"Brasstown aka It's Chocolate","O'payo, Waslala",1868,2016,"70%","U.S.A.",3.75," ","Nicaragua",0.7
"Brasstown aka It's Chocolate","Conacado",1462,2015,"68%","U.S.A.",3.75," ","Dominican Republic",0.68
"Brasstown aka It's Chocolate","Maya Mountain",1255,2014,"70%","U.S.A.",3.75,"Trinitario","Belize",0.7
"Brasstown aka It's Chocolate","Chuao",1355,2014,"70%","U.S.A.",4,"Trinitario","Venezuela",0.7
"Brasstown aka It's Chocolate","Cooproagro",1125,2013,"72%","U.S.A.",3,"Trinitario","Dominican Republic",0.72
"Brasstown aka It's Chocolate","Camino Verde, Guayas",1125,2013,"70%","U.S.A.",3.25," ","Ecuador",0.7
"Brasstown aka It's Chocolate","Ghana",1129,2013,"75%","U.S.A.",3.5,"Forastero","Ghana",0.75
"Brasstown aka It's Chocolate","Chuao, Mantuano blend",1129,2013,"85%","U.S.A.",3.5,"Trinitario","Venezuela",0.85
"Brazen","Elvesia P.",1514,2015,"60%","U.S.A.",3," ","Dominican Republic",0.6
"Brazen","Elvesia P.",1514,2015,"80%","U.S.A.",3.25," ","Dominican Republic",0.8
"Brazen","Alta Verapaz, 2014",1514,2015,"70%","U.S.A.",3.5," ","Guatemala",0.7
"Brazen","Ambolikapiky P.",1518,2015,"80%","U.S.A.",2.75," ","Madagascar",0.8
"Brazen","Maya Mountain",1518,2015,"80%","U.S.A.",3.25,"Trinitario","Belize",0.8
"Brazen","Ambolikapkly P.",1518,2015,"60%","U.S.A.",3.25," ","Madagascar",0.6
"Breeze Mill","Jamaica",1149,2013,"70%","U.S.A.",3,"Trinitario","Jamaica",0.7
"Bright","Somia Plantation",1231,2014,"72%","Australia",3,"Trinitario","Madagascar",0.72
"Bright","Marabel Farms",1231,2014,"70%","Australia",3.5," ","Dominican Republic",0.7
"Bright","Camino Verde, Balao, Guayas",1231,2014,"72%","Australia",3.5," ","Ecuador",0.72
"Bright","Gran Couva",1235,2014,"68%","Australia",2.75,"Trinitario","Trinidad",0.68
"Britarev","Ecuador",1638,2015,"70%","Russia",3.25," ","Ecuador",0.7
"Bronx Grrl Chocolate","Dominican Republic",1181,2013,"68%","U.S.A.",2.75," ","Dominican Republic",0.68
"Burnt Fork Bend","Trinidad",1299,2014,"72%","U.S.A.",3.25,"Trinitario","Trinidad",0.72
"Burnt Fork Bend","Mindo",1299,2014,"72%","U.S.A.",3.5," ","Ecuador",0.72
"Burnt Fork Bend","Belize",1303,2014,"72%","U.S.A.",3.25,"Trinitario","Belize",0.72
"Burnt Fork Bend","Blend",1303,2014,"72%","U.S.A.",3.25,"Blend"," ",0.72
